Product Name,Category,Material,Manufacturer,Certifications,Price,Sustainability Features,Country of Origin
Bamboo Toothbrush v1,Oral Care,Bamboo,EcoBrush,FSC Certified,3.7,"Biodegradable, Recyclable",China
Clay Pot v1,Kitchenware,Clay,EarthPottery,Handmade,13.59,"Biodegradable, Handmade",India
Reusable Bamboo Coffee Cup v1,Drinkware,Bamboo,GreenCup,FSC Certified,12.55,"Biodegradable, Reusable",China
Cotton Kitchen Sponge v1,Cleaning Supplies,Cotton,EcoSponge,Organic,8.72,"Biodegradable, Organic",USA
Bamboo Cutlery Set v1,Cutlery,Bamboo,EcoUtensils,FSC Certified,10.49,"Biodegradable, Reusable",China
Organic Cotton T-Shirt v1,Clothing,Organic Cotton,GreenWear,GOTS Certified,26.87,"Organic, Biodegradable",India
Recycled Paper Notebook v1,Stationery,Recycled Paper,EcoNotes,Recycled,5.11,"Recyclable, Recycled",USA
Stainless Steel Water Bottle v1,Drinkware,Stainless Steel,EcoBottle,BPA Free,18.89,"Reusable, Recyclable",China
Hemp Backpack v1,Bags,Hemp,EcoBag,Fair Trade,45.64,"Biodegradable, Durable",Nepal
Solar Powered Lantern v1,Lighting,Plastic,GreenLight,Energy Star,32.75,"Energy Efficient, Renewable Energy",China
Bamboo Charcoal Air Purifier v1,Home Goods,Bamboo,FreshAir,Natural,10.54,"Biodegradable, Reusable",China
Compostable Trash Bags v1,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,8.46,"Compostable, Biodegradable",USA
Cork Yoga Mat v1,Fitness,Cork,EcoFit,Natural,47.65,"Biodegradable, Natural",Portugal
Recycled Plastic Sunglasses v1,Accessories,Recycled Plastic,EcoShades,Recycled,35.69,"Recycled, Recyclable",Italy
Organic Wool Blanket v1,Home Goods,Organic Wool,EcoWarm,GOTS Certified,60.81,"Organic, Biodegradable",New Zealand
Bamboo Hair Brush v1,Personal Care,Bamboo,EcoBrush,FSC Certified,6.86,"Biodegradable, Recyclable",China
Natural Loofah v1,Personal Care,Loofah,EcoBath,Natural,5.11,"Biodegradable, Natural",Thailand
Reusable Cloth Diapers v1,Baby Care,Cotton,EcoBaby,Organic,18.48,"Reusable, Organic",India
Beeswax Food Wraps v1,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,14.34,"Biodegradable, Reusable",USA
Recycled Aluminum Foil v1,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.55,"Recyclable, Recycled",USA
Bamboo Toothbrush v2,Oral Care,Bamboo,EcoBrush,FSC Certified,3.74,"Biodegradable, Recyclable",China
Clay Pot v2,Kitchenware,Clay,EarthPottery,Handmade,14.69,"Biodegradable, Handmade",India
Reusable Bamboo Coffee Cup v2,Drinkware,Bamboo,GreenCup,FSC Certified,13.64,"Biodegradable, Reusable",China
Cotton Kitchen Sponge v2,Cleaning Supplies,Cotton,EcoSponge,Organic,7.34,"Biodegradable, Organic",USA
Bamboo Cutlery Set v2,Cutlery,Bamboo,EcoUtensils,FSC Certified,10.69,"Biodegradable, Reusable",China
Organic Cotton T-Shirt v2,Clothing,Organic Cotton,GreenWear,GOTS Certified,27.41,"Organic, Biodegradable",India
Recycled Paper Notebook v2,Stationery,Recycled Paper,EcoNotes,Recycled,5.09,"Recyclable, Recycled",USA
Stainless Steel Water Bottle v2,Drinkware,Stainless Steel,EcoBottle,BPA Free,21.5,"Reusable, Recyclable",China
Hemp Backpack v2,Bags,Hemp,EcoBag,Fair Trade,49.42,"Biodegradable, Durable",Nepal
Solar Powered Lantern v2,Lighting,Plastic,GreenLight,Energy Star,30.44,"Energy Efficient, Renewable Energy",China
Bamboo Charcoal Air Purifier v2,Home Goods,Bamboo,FreshAir,Natural,9.16,"Biodegradable, Reusable",China
Compostable Trash Bags v2,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,7.51,"Compostable, Biodegradable",USA
Cork Yoga Mat v2,Fitness,Cork,EcoFit,Natural,53.43,"Biodegradable, Natural",Portugal
Recycled Plastic Sunglasses v2,Accessories,Recycled Plastic,EcoShades,Recycled,33.41,"Recycled, Recyclable",Italy
Organic Wool Blanket v2,Home Goods,Organic Wool,EcoWarm,GOTS Certified,63.19,"Organic, Biodegradable",New Zealand
Bamboo Hair Brush v2,Personal Care,Bamboo,EcoBrush,FSC Certified,7.36,"Biodegradable, Recyclable",China
Natural Loofah v2,Personal Care,Loofah,EcoBath,Natural,5.42,"Biodegradable, Natural",Thailand
Reusable Cloth Diapers v2,Baby Care,Cotton,EcoBaby,Organic,20.94,"Reusable, Organic",India
Beeswax Food Wraps v2,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,13.95,"Biodegradable, Reusable",USA
Recycled Aluminum Foil v2,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.44,"Recyclable, Recycled",USA
Bamboo Toothbrush v3,Oral Care,Bamboo,EcoBrush,FSC Certified,3.69,"Biodegradable, Recyclable",China
Clay Pot v3,Kitchenware,Clay,EarthPottery,Handmade,15.82,"Biodegradable, Handmade",India
Reusable Bamboo Coffee Cup v3,Drinkware,Bamboo,GreenCup,FSC Certified,11.56,"Biodegradable, Reusable",China
Cotton Kitchen Sponge v3,Cleaning Supplies,Cotton,EcoSponge,Organic,8.23,"Biodegradable, Organic",USA
Bamboo Cutlery Set v3,Cutlery,Bamboo,EcoUtensils,FSC Certified,9.04,"Biodegradable, Reusable",China
Organic Cotton T-Shirt v3,Clothing,Organic Cotton,GreenWear,GOTS Certified,25.19,"Organic, Biodegradable",India
Recycled Paper Notebook v3,Stationery,Recycled Paper,EcoNotes,Recycled,5.01,"Recyclable, Recycled",USA
Stainless Steel Water Bottle v3,Drinkware,Stainless Steel,EcoBottle,BPA Free,21.37,"Reusable, Recyclable",China
Hemp Backpack v3,Bags,Hemp,EcoBag,Fair Trade,48.23,"Biodegradable, Durable",Nepal
Solar Powered Lantern v3,Lighting,Plastic,GreenLight,Energy Star,31.4,"Energy Efficient, Renewable Energy",China
Bamboo Charcoal Air Purifier v3,Home Goods,Bamboo,FreshAir,Natural,9.43,"Biodegradable, Reusable",China
Compostable Trash Bags v3,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,8.41,"Compostable, Biodegradable",USA
Cork Yoga Mat v3,Fitness,Cork,EcoFit,Natural,49.83,"Biodegradable, Natural",Portugal
Recycled Plastic Sunglasses v3,Accessories,Recycled Plastic,EcoShades,Recycled,38.27,"Recycled, Recyclable",Italy
Organic Wool Blanket v3,Home Goods,Organic Wool,EcoWarm,GOTS Certified,54.94,"Organic, Biodegradable",New Zealand
Bamboo Hair Brush v3,Personal Care,Bamboo,EcoBrush,FSC Certified,7.93,"Biodegradable, Recyclable",China
Natural Loofah v3,Personal Care,Loofah,EcoBath,Natural,5.94,"Biodegradable, Natural",Thailand
Reusable Cloth Diapers v3,Baby Care,Cotton,EcoBaby,Organic,21.85,"Reusable, Organic",India
Beeswax Food Wraps v3,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,14.99,"Biodegradable, Reusable",USA
Recycled Aluminum Foil v3,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.96,"Recyclable, Recycled",USA
Bamboo Toothbrush v4,Oral Care,Bamboo,EcoBrush,FSC Certified,4.08,"Biodegradable, Recyclable",China
Clay Pot v4,Kitchenware,Clay,EarthPottery,Handmade,14.96,"Biodegradable, Handmade",India
Reusable Bamboo Coffee Cup v4,Drinkware,Bamboo,GreenCup,FSC Certified,13.01,"Biodegradable, Reusable",China
Cotton Kitchen Sponge v4,Cleaning Supplies,Cotton,EcoSponge,Organic,8.16,"Biodegradable, Organic",USA
Bamboo Cutlery Set v4,Cutlery,Bamboo,EcoUtensils,FSC Certified,9.32,"Biodegradable, Reusable",China
Organic Cotton T-Shirt v4,Clothing,Organic Cotton,GreenWear,GOTS Certified,23.61,"Organic, Biodegradable",India
Recycled Paper Notebook v4,Stationery,Recycled Paper,EcoNotes,Recycled,4.86,"Recyclable, Recycled",USA
Stainless Steel Water Bottle v4,Drinkware,Stainless Steel,EcoBottle,BPA Free,21.27,"Reusable, Recyclable",China
Hemp Backpack v4,Bags,Hemp,EcoBag,Fair Trade,47.3,"Biodegradable, Durable",Nepal
Solar Powered Lantern v4,Lighting,Plastic,GreenLight,Energy Star,32.11,"Energy Efficient, Renewable Energy",China
Bamboo Charcoal Air Purifier v4,Home Goods,Bamboo,FreshAir,Natural,9.6,"Biodegradable, Reusable",China
Compostable Trash Bags v4,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,7.69,"Compostable, Biodegradable",USA
Cork Yoga Mat v4,Fitness,Cork,EcoFit,Natural,53.96,"Biodegradable, Natural",Portugal
Recycled Plastic Sunglasses v4,Accessories,Recycled Plastic,EcoShades,Recycled,35.85,"Recycled, Recyclable",Italy
Organic Wool Blanket v4,Home Goods,Organic Wool,EcoWarm,GOTS Certified,62.82,"Organic, Biodegradable",New Zealand
Bamboo Hair Brush v4,Personal Care,Bamboo,EcoBrush,FSC Certified,7.07,"Biodegradable, Recyclable",China
Natural Loofah v4,Personal Care,Loofah,EcoBath,Natural,4.97,"Biodegradable, Natural",Thailand
Reusable Cloth Diapers v4,Baby Care,Cotton,EcoBaby,Organic,20.98,"Reusable, Organic",India
Beeswax Food Wraps v4,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,15.77,"Biodegradable, Reusable",USA
Recycled Aluminum Foil v4,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.58,"Recyclable, Recycled",USA
Bamboo Toothbrush v5,Oral Care,Bamboo,EcoBrush,FSC Certified,4.16,"Biodegradable, Recyclable",China
Clay Pot v5,Kitchenware,Clay,EarthPottery,Handmade,15.09,"Biodegradable, Handmade",India
Reusable Bamboo Coffee Cup v5,Drinkware,Bamboo,GreenCup,FSC Certified,13.6,"Biodegradable, Reusable",China
Cotton Kitchen Sponge v5,Cleaning Supplies,Cotton,EcoSponge,Organic,8.71,"Biodegradable, Organic",USA
Bamboo Cutlery Set v5,Cutlery,Bamboo,EcoUtensils,FSC Certified,9.05,"Biodegradable, Reusable",China
Organic Cotton T-Shirt v5,Clothing,Organic Cotton,GreenWear,GOTS Certified,26.5,"Organic, Biodegradable",India
Recycled Paper Notebook v5,Stationery,Recycled Paper,EcoNotes,Recycled,5.18,"Recyclable, Recycled",USA
Stainless Steel Water Bottle v5,Drinkware,Stainless Steel,EcoBottle,BPA Free,20.62,"Reusable, Recyclable",China
Hemp Backpack v5,Bags,Hemp,EcoBag,Fair Trade,43.63,"Biodegradable, Durable",Nepal
Solar Powered Lantern v5,Lighting,Plastic,GreenLight,Energy Star,30.14,"Energy Efficient, Renewable Energy",China
Bamboo Charcoal Air Purifier v5,Home Goods,Bamboo,FreshAir,Natural,10.54,"Biodegradable, Reusable",China
Compostable Trash Bags v5,Cleaning Supplies,Compostable Plastic,GreenBags,Compostable,8.22,"Compostable, Biodegradable",USA
Cork Yoga Mat v5,Fitness,Cork,EcoFit,Natural,46.07,"Biodegradable, Natural",Portugal
Recycled Plastic Sunglasses v5,Accessories,Recycled Plastic,EcoShades,Recycled,38.14,"Recycled, Recyclable",Italy
Organic Wool Blanket v5,Home Goods,Organic Wool,EcoWarm,GOTS Certified,61.16,"Organic, Biodegradable",New Zealand
Bamboo Hair Brush v5,Personal Care,Bamboo,EcoBrush,FSC Certified,7.92,"Biodegradable, Recyclable",China
Natural Loofah v5,Personal Care,Loofah,EcoBath,Natural,5.99,"Biodegradable, Natural",Thailand
Reusable Cloth Diapers v5,Baby Care,Cotton,EcoBaby,Organic,19.1,"Reusable, Organic",India
Beeswax Food Wraps v5,Kitchenware,Cotton and Beeswax,EcoWraps,Organic,13.99,"Biodegradable, Reusable",USA
Recycled Aluminum Foil v5,Kitchenware,Recycled Aluminum,EcoFoil,Recycled,5.55,"Recyclable, Recycled",USA
